% do not modify the content
% generated by machine
% format: dimension   meta_grid
%         bssid       signal_strength
%         ......      ......

#Grid 1 Record 1
8 1
00:1F:41:6C:E6:F8 -69
00:22:75:26:6B:91 -90
00:E0:FC:1A:D5:07 -85
00:1F:41:2C:E6:F8 -70
00:24:01:65:70:A9 -81
00:22:93:26:1D:40 -85
00:15:EB:4D:1D:FA -87
00:15:EB:4D:1D:FC -88

#Grid 1 Record 2
8 1
00:1F:41:6C:E6:F8 -69
00:22:75:26:6B:91 -90
00:E0:FC:1A:D5:07 -85
00:1F:41:2C:E6:F8 -70
00:24:01:65:70:A9 -81
00:22:93:26:1D:40 -85
00:15:EB:4D:1D:FA -87
00:15:EB:4D:1D:FC -88

#Grid 1 Record 3
8 1
00:1F:41:6C:E6:F8 -70
00:22:75:26:6B:91 -91
00:E0:FC:1A:D5:07 -86
00:1F:41:2C:E6:F8 -71
00:24:01:65:70:A9 -82
00:22:93:26:1D:40 -86
00:15:EB:4D:1D:FA -88
00:15:EB:4D:1D:FC -89

#Grid 1 Record 4
8 1
00:1F:41:6C:E6:F8 -71
00:22:75:26:6B:91 -92
00:E0:FC:1A:D5:07 -87
00:1F:41:2C:E6:F8 -72
00:24:01:65:70:A9 -83
00:22:93:26:1D:40 -87
00:15:EB:4D:1D:FA -89
00:15:EB:4D:1D:FC -90

#Grid 1 Record 5
8 1
00:1F:41:6C:E6:F8 -72
00:22:75:26:6B:91 -93
00:E0:FC:1A:D5:07 -88
00:1F:41:2C:E6:F8 -73
00:24:01:65:70:A9 -84
00:22:93:26:1D:40 -88
00:15:EB:4D:1D:FA -90
00:15:EB:4D:1D:FC -91

#Grid 1 Record 6
22 1
00:0F:66:83:FB:CC -90
02:5C:96:05:0E:A5 -91
00:1F:41:6C:E6:F8 -85
00:1F:41:2C:E6:F8 -83
00:E0:FC:1A:D5:07 -74
00:19:E0:64:64:C0 -91
00:22:93:26:1D:40 -83
00:15:EB:4D:1D:FA -90
00:22:B0:F8:9F:5C -89
00:15:EB:4D:1D:FC -89
00:1F:41:AC:E6:F8 -82
00:22:93:44:A0:E2 -75
00:26:5A:29:50:B4 -88
00:16:B6:ED:46:10 -91
00:22:B0:95:83:F5 -79
00:1E:2A:66:37:12 -90
00:22:93:44:A0:E4 -74
00:17:9A:58:AD:B1 -67
00:14:BF:8A:C8:C7 -83
3E:25:B3:38:8B:F9 -88
00:1E:8C:59:EF:7F -70
00:13:10:92:6E:0D -57

#Grid 1 Record 7
24 1
00:0F:66:83:FB:CC -90
02:5C:96:05:0E:A5 -91
00:1F:41:6C:E6:F8 -62
00:1F:41:2C:E6:F8 -83
00:E0:FC:1A:D5:07 -74
00:19:E0:64:64:C0 -91
00:22:93:26:1D:40 -83
00:15:EB:4D:1D:FA -90
00:22:B0:F8:9F:5C -89
00:15:EB:4D:1D:FC -89
00:1F:41:AC:E6:F8 -62
00:22:93:44:A0:E2 -74
00:26:5A:29:50:B4 -88
00:19:E0:A5:05:E0 -88
00:16:B6:ED:46:10 -91
00:22:B0:95:83:F5 -76
